id_produit;id_type;id_label;nom;prix;degre;volume;origine
98;2;56;CHATEAU COUCHEROY 2018;17.9;13.5;750;Bordeaux
99;2;57;VALPOLICELLA CLASSICO 2019 - SPERI;13.5;12.5;750;Italie
100;2;57;COTES DU RHONE 2017 - CONTRE ETIQUETTE AMERICAINE - DOMAINE DURIEU;8.4;14.5;750;Rhône
101;2;57;CHATEAU REYNAUD LACOSTE 2019;7.1;13.5;750;Bordeaux
102;1;57;HÉRITIERS DU SUD CHARDONNAY 2020 - ALMA CERSIUS;7;13.5;750;Languedoc-Roussillon
103;3;57;MIRAFLORS 2020 - DOMAINE LAFAGE;11.2;12.5;750;Languedoc-Roussillon
104;3;57;GAZOUILLIS 2020 - BY JEFF CARREL;8.5;12;750;Vin de France
105;1;57;LES MAMETTES 2019 - BY JEFF CARREL;9.5;13;750;Languedoc-Roussillon
106;2;58;LUXE, CALME ET VOLUPTÉ 2018 - STÉPHANIE & LUC BAUDET;15.55;15.5;750;Languedoc-Roussillon
107;2;59;CHIANTI COLLI SENESI - AL CANAPO 2019 - BINDI SERGARDI;13.9;13.5;750;Italie
108;2;59;CUVEE CONFIDENCE 2019 - DOMAINE FOND CROZE;10.99;14.5;750;Rhône
109;1;60;CUVEE CLEMENCE 2019 - CHEVAL QUANCARD;8.7;12.5;750;Bordeaux
110;2;61;CHOREY-LES-BEAUNE - LES GOURMANDES 2018 - AEGERTER PERE ET FILS;21.99;13;750;Bourgogne
111;1;61;PAS VU PAS PRIS 2020 - BY JEFF CARREL;9.9;13;750;Vin de France
112;1;62;SAUVIGNON 2019 - CHATEAU DE VALLAGON;9.8;13;750;Loire
113;3;62;REFRAIN D'ETE 2020 - CHÂTEAU ROUMANIERES;9.99;13;750;Languedoc-Roussillon
114;1;62;CADIRETA 2020 - DOMAINE LAFAGE;11.5;13;750;Languedoc-Roussillon
115;2;62;EL CHAVAL 2019 - BODEGAS NODUS;6.9;13;750;Espagne
116;2;63;VACQUEYRAS PRESTIGE VOLUTE 2016 - ROMAIN DUVERNAY;16.5;15;750;Rhône
117;1;64;VIOGNIER - LA COMBE PILATE 2018 - M. CHAPOUTIER;13.9;14.5;750;Rhône
118;2;64;TERRE RONDE 2018 - DOMAINE LE SOLLIER;8.3;13.5;750;Languedoc-Roussillon
119;2;65;CHATEAU VIEUX PLANTY 2016;9.9;13;750;Bordeaux
120;1;65;GROS ET PETIT MANSENG DOUX N°4 2019 - DOMAINE UBY;9.9;11.5;750;Sud-Ouest
121;1;65;CÔTES DU RHÔNE BLANC 2018 - ROMAIN DUVERNAY;8.5;13.5;750;Rhône
122;2;66;ESTATE MALBEC 2018 - DONA PAULA;17.5;13.5;750;Argentine
123;1;66;SAUVIGNON BLANC 2019 LES FUMÉES BLANCHES - FRANÇOIS LURTON;9.95;11.5;750;Sud-Ouest
124;2;;A VUE DE NEZ - SANS SOUFRE 2019 - BY JEFF CARREL;9.9;14.5;750;Vin de France
125;2;66;GRENACHE 2019 - LES JAMELLES;8.95;13.5;750;Languedoc-Roussillon
126;2;66;PLAISIR ROUGE - MAITRES VIGNERONS DE VIDAUBAN;6.4;13.5;750;Provence-Alpes-Côte d'Azur
127;2;66;CHÂTEAU LA CROIX DE PEZ 2017;16.5;13;750;Bordeaux
128;1;67;MIRAL - GRILLO SICILIA 2019 - CANTINE FINA;8.95;13;750;Italie
129;2;68;MAS DE JON 2019;15;14.5;750;Languedoc-Roussillon
130;1;68;MARSANNE 2019 - LOUIS CHEZE;12.5;14;750;Rhône
131;2;68;RIOJA RESERVA - LICENCIADO 2016 - BODEGAS BURGO VIEJO;12.99;13.5;750;Espagne
132;2;69;BOURGOGNE PASSETOUTGRAIN 2018 - CHÂTEAU DU MICHEL;9.9;12.5;750;Bourgogne
133;1;69;VIOGNIER - PREMIERE NOTE 2019 - CAVE DE TAIN;9.9;14;750;Rhône
134;1;70;COTES DU RHONE VILLAGES BLANC - LAUDUN 2018 - DOMAINE PELAQUIE;11.9;14;750;Rhône
135;2;70;COTES DU RHONE - LES BORIES 2019 - ROMAIN DUVERNAY;7.9;14;750;Rhône
136;1;71;BRANCO LACRAU 2019 - SECRET SPOT WINES;8.99;13;750;Portugal
137;1;71;JAVA BLANC 2019 - DOMAINE CHIROULET;7.5;11.5;750;Sud-Ouest
138;2;72;CARMENERE 2019 - EL GRANO;10;13;750;Chili
139;2;73;TERRE DE BUSSIERE 2018 - DOMAINE DE LA JANASSE;14.1;14.5;750;Rhône
140;1;73;SHEEP SAUVIGNON BLANC 2020 - TUSSOCK JUMPER;10.9;13.5;750;Nouvelle-Zélande
141;1;74;CHABLIS 2019 - NAUDIN PÈRE ET FILS;14.99;12.5;750;Bourgogne
142;1;75;LA VIEILLE FERME BLANC 2020;7.3;13;750;Rhône
143;2;75;CHEMIN DE MOSCOU 2018 - DOMAINE GAYDA;23.4;14;750;Languedoc-Roussillon
144;3;76;ROSE BONBON 2020 - MIP - DOMAINE DES DIABLES;14.5;12.5;750;Provence-Alpes-Côte d'Azur
145;2;76;SERIE A MALBEC 2018 - FAMILIA ZUCCARDI;15.95;14;750;Argentine
146;2;77;BOURGOGNE PINOT NOIR - SIEUR AUBRY 2019 - DOMAINE DU MONT VERRIER;14.5;14.5;750;Bourgogne
147;2;78;TERRAMARE MONTEPULCIANO D'ABBRUZZO 2019 - CITRA VINI;6.8;13;750;Italie
148;3;78;ROZY COLLECTION D'ETE 2021 - VIGNOBLES DOM BRIAL;7.5;13;750;Languedoc-Roussillon
149;2;79;CUVEE DOMAINE 2020 - DOMAINE ROCHES NEUVES THIERRY GERMAIN;14;13.5;750;Loire
150;3;80;CABERNET D'ANJOU PRESTIGE LES TERRIADES 2020 - LES CAVES DE LA LOIRE;8.9;11;750;Loire
151;1;81;CHENIN - FREE RUN STEEN 2020 - MAN FAMILY WINES;11.5;13.5;750;Afrique du Sud
152;2;82;CHATEAUNEUF DU PAPE - CUVEE ANONYME 2016 - XAVIER VIGNON;42.9;15;750;Rhône
153;2;83;CARAMANY - SOUS LA MONTAGNE 2017 - JEFF CARREL;11.9;14;750;Languedoc-Roussillon
154;2;83;CHÂTEAU DES GRAVIÈRES 2016;12.7;13;750;Bordeaux
155;2;83;COTES DU RHONE - RIVE DROITE 2018 - LUC BAUDET;9.9;15;750;Rhône
156;2;84;CHÂTEAU GROLEAU 2015;12.5;14;750;Bordeaux
157;2;84;RÉSERVE 2018 - CHÂTEAU LAMOTHE-VINCENT;8.75;14.5;750;Bordeaux
158;1;84;LES ENFANTS TERRIBLES 2019 - CHARDONNAY - AEGERTER PERE ET FILS;8.7;13.5;750;Languedoc-Roussillon
159;2;85;LA VIEILLE FERME 2019;7.3;13.5;750;Rhône
160;2;85;OTRE AGLIANICO 2018 - CANTINE TEANUM;10.5;14;750;Italie
161;2;86;PERNAND VERGELESSES 2018 - MAISON CHANDESAIS;19.9;13;750;Bourgogne
162;2;87;MACON ROUGE 2018 - MAISON CHANDESAIS;11.5;12.5;750;Bourgogne
163;2;87;COTES DU RHONE 2019 - DOMAINE DE LA GUINTRANDY;7.99;14.2;750;Rhône
164;2;88;MARSELAN 2019 - CELLIER DES GORGES DE L'ARDECHE;7;15;750;Rhône
165;2;88;NICOLAS 2019 - DOMAINE LAFAGE;12.5;15;750;Languedoc-Roussillon
166;2;89;LA TIRE 2019 - BY JEFF CARREL;9.5;15;750;Languedoc-Roussillon
167;2;90;SEICASELLE 2018 - SALICE SALENTINO DOC - TAGARO;10.9;14;750;Italie
168;2;90;PIC SAINT-LOUP - COSTE D'ALEYRAC 2019 - CHÂTEAU DE LANCYRE;11.7;14.5;750;Languedoc-Roussillon
169;1;91;CHARDONNAY 2019 - BREAD AND BUTTER;18.9;13.5;750;Etats-Unis
170;2;91;SYRAHVISSANTE 2018 - LOUIS CHEZE;9.9;13.5;750;Rhône
171;1;;ULTIME RECOLTE 2020 - BY JEFF CARREL;9.9;12;750;Vin de France
172;2;91;VINA ALBERDI RESERVA 2015 - LA RIOJA ALTA;16.9;13.5;750;Espagne
173;2;91;COSTIERES DE NIMES - LA CIBOISE 2019 - MICHEL CHAPOUTIER;7.9;14;750;Rhône
174;2;92;UN(E) TOUR EN ANJOU ROUGE 2020 - SANS SULFITES AJOUTES - DOMAINE DES TROTTIERES;11.3;12.5;750;Loire
175;3;93;SYMPHONIE ROSE 2020 - CRU CLASSE - CHATEAU SAINTE MARGUERITE;19.5;12.5;750;Provence-Alpes-Côte d'Azur
176;1;94;SAINT VERAN VIEILLES VIGNES BIO 2019 - CLOSERIE DES ALISIERS;15.9;13.5;750;Bourgogne
177;1;94;HARMONIE DE GASCOGNE BLANC 2020 - DOMAINE PELLEHAUT;7.7;11.5;750;Sud-Ouest
178;1;94;HAUT MARIN - N°7 - VENUS 2019;7.4;11.5;750;Sud-Ouest
179;2;94;ARÔMA - SYRAH 2018 - CELLIER DES PRINCES;5.9;13.5;750;Rhône
180;2;94;ORELIE ROUGE 2020 - VIGNERONS ARDÉCHOIS;7.9;14.5;750;Rhône
181;1;95;PETIT CHABLIS PAS SI PETIT 2020 - LA CHABLISIENNE;13.99;12.5;750;Bourgogne
182;2;96;ARCANE XIX LE SOLEIL 2015 - XAVIER VIGNON;19.99;15;750;Rhône
183;2;96;CHATEAU LA BRANNE 2015 - CRU BOURGEOIS;17.2;13;750;Bordeaux
184;2;96;CHATEAU BEAUMONT LES PIERRIERES 2017;7.9;13.5;750;Bordeaux
185;2;97;FAVUGNE ROSSO 2018 - CANTINE TEANUM;6.5;13.5;750;Italie
186;2;98;CAIRANNE - LES VOCONCES 2018 - CAVE DE CAIRANNE;12.5;15;750;Rhône
187;2;98;CANTICUM ROSSO 2018 - CANTINE TEANUM;8.3;13.5;750;Italie
188;2;98;DOMAINE HORGELUS - PHI-LING 2017;9.9;13.5;750;Sud-Ouest
189;2;98;RASTEAU 2018 - PATRICK LESEC;13.5;14.5;750;Rhône
190;2;98;CHATEAU HAUT POUGNAN 2017;7.95;12.5;750;Bordeaux
191;4;99;COTEAUX BOURGUIGNONS 2018 - MAISON ALBERT BICHOT;10.5;13;750;Bourgogne
192;2;99;CÔTES DU RHÔNE VILLAGES PLAN DE DIEU VILLA GARANCE 2017 - ROMAIN DUVERNAY;11.5;14.5;750;Rhône
193;1;99;MONTFOLLET LE VALENTIN BLANC 2019;9.9;14;750;Bordeaux
194;1;100;CHATEAU LES MAILLERIES 2018;9.5;13.5;750;Sud-Ouest
195;1;100;BOURGOGNE - CHARDONNAY 2019 - CLOSERIE DES ALISIERS;10.7;13;750;Bourgogne
196;2;101;DOMAINE ROTIER - RENAISSANCE ROUGE 2017;14.9;13.5;750;Sud-Ouest
197;2;102;BAROLO 2016 - CARLO REVELLO & FIGLI;35.9;15;750;Italie
198;1;103;BOURGOGNE ALIGOTE 2019 - DOMAINE COLBOIS;11.9;12.5;750;Bourgogne
199;1;104;SAINT PERAY NOBLES RIVES 2019 - CAVE DE TAIN;17.5;13.5;750;Rhône
464;2;196;CHATEAU GRAND ORMEAU 2015;25.75;14;750;Bordeaux
200;2;104;VINA ARDANZA RESERVA 2012 - LA RIOJA ALTA;24.9;14.5;750;Espagne
201;2;104;BOURGOGNE PINOT NOIR 2020 - CLOSERIE DES ALISIERS;11.9;13;750;Bourgogne
202;2;105;CHOREY-LES-BEAUNE 2015 - LOUIS JADOT;26.9;13;750;Bourgogne
203;1;105;VIEILLE MULE BLANC 2019 - BY JEFF CARREL;7.3;13.5;750;Languedoc-Roussillon
204;2;106;RHINO SHIRAZ GRENACHE VIOGNIER 2018 - TUSSOCK JUMPER;8.9;14.5;750;Afrique du Sud
205;2;107;KOALA SHIRAZ 2019 - TUSSOCK JUMPER;8.9;14.5;750;Australie
206;2;107;CHATEAU FERREYRES 2018;8.3;14;750;Bordeaux
207;1;108;GEWURZTRAMINER 2018 - LES PRINCES ABBES - DOMAINE SCHLUMBERGER;16.5;13;750;Alsace
208;2;108;SYRAH 2019 - LES JAMELLES;8.95;13.5;750;Languedoc-Roussillon
209;2;109;LILAC WINE 2019 - BY JEFF CARREL;10.95;15.5;750;Languedoc-Roussillon
210;2;109;VENTOUX 2019 - RESERVE SAINT DOMINIQUE;9.8;14;750;Rhône
211;1;110;MEURSAULT - RÉSERVE PERSONNELLE 2019 - AEGERTER PÈRE ET FILS;39.9;12.5;750;Bourgogne
212;2;110;OTRE PRIMITIVO 2019 - CANTINE TEANUM;10.4;15;750;Italie
213;2;110;SAINT ESPRIT 2019 - MAISON DELAS FRERES;10.9;14.5;750;Rhône
214;2;110;GUILLAUME AURELE PINOT NOIR 2019 - ALMA CERSIUS;7.5;13.5;750;Languedoc-Roussillon
215;2;110;COTEAUX BOURGUIGNONS GRANDE QV 2020 - VIGNERONS DE BEL AIR;7.5;13;750;Bourgogne
216;2;111;HERITAGE 2018 - CHATEAU LAMOTHE-VINCENT;12.95;14.5;750;Bordeaux
217;2;112;MANCUSO GARNACHA 2018 - J. NAVASCUES ENOLOGIA;13.9;14.5;750;Espagne
218;2;113;TALMA GARNACHA 2019 - ALCENO;7.2;13;750;Espagne
219;2;114;MARANGES 1ER CRU - CLOS DES LOYERES 2019 - CHÂTEAU DE LA CHARRIERE;23.9;13;750;Bourgogne
220;2;114;CHATEAU HAUT-BASCLA 2019;6.6;13;750;Bordeaux
221;1;114;CHARDONNAY 2020 - DOMAINE GAYDA;8;13.5;750;Languedoc-Roussillon
222;1;114;VIOGNIER 2020 - DOMAINE GAYDA;8;13;750;Languedoc-Roussillon
223;2;115;LES SORCIERES 2020 DU CLOS DES FEES - HERVE BIZEUL & ASSOCIÉS;14.4;13.5;750;Languedoc-Roussillon
224;3;116;CUVEE DU BATONNIER ROSE 2020 - DOMAINE DE VALDITION;12;13;750;Provence-Alpes-Côte d'Azur
225;1;116;BLANC ACACIA 2020 - CHÂTEAU SAINTE CROIX;11.9;13;750;Provence-Alpes-Côte d'Azur
226;2;117;SAVIGNY LES BEAUNE - LES PIMENTIERS 2017 - ARNOUX PERE ET FILS;29.9;13;750;Bourgogne
227;3;117;ESSENTIELLE ROSE 2020 - DOMAINE DES MASQUES;11.75;13;750;Provence-Alpes-Côte d'Azur
228;2;118;N°1 2018 - DOMAINE ALEXIS BOUCARD;10.9;13;750;Loire
229;3;118;MUSE 2020 - DOMAINE DE MONTINE;9.5;13;750;Rhône
230;2;119;BEAUJOLAIS VILLAGES - LE PERREON 2019 - DOMAINE DE LA MADONE;10.99;13;750;Beaujolais
231;2;119;CHATEAU HAUT-BRION 2010 - 1ER CRU CLASSE;890;15;750;Bordeaux
232;1;120;CHATEAU SIGALAS RABAUD 2010 - 1ER CRU CLASSE;44.9;13.5;750;Bordeaux
233;2;120;CHATEAU POITEVIN 2015 - CRU BOURGEOIS;17.9;13;750;Bordeaux
234;2;121;ARCANE IX L'HERMITE 2016 - XAVIER VIGNON;29.9;14.5;750;Rhône
235;2;121;CAIRANNE 2016 - XAVIER VIGNON;16.9;14.5;750;Rhône
236;2;122;CLOS VOUGEOT GRAND CRU 2014 - CAMILLE GIROUD;177;13;750;Bourgogne
237;2;122;CHATEAU PIERRAIL 2016;14.5;14.5;750;Bordeaux
238;2;123;PRESTIGE 2018 - CHATEAU PUECH HAUT;16.6;14.5;750;Languedoc-Roussillon
239;2;123;CHATEAU BALLUE-MONDON 2016;8.4;13;750;Bordeaux
240;2;124;CHATEAU DAUZAC 2016;48.9;13.5;750;Bordeaux
241;2;125;CROZES HERMITAGE 2018 - ROMAIN DUVERNAY;17.9;14;750;Rhône
242;1;125;FLYING SOLO BLANC 2019 - DOMAINE GAYDA;7;13;750;Languedoc-Roussillon
243;1;126;VINA ESMERALDA 2019 - TORRES;11.5;11.5;750;Espagne
244;3;126;CLOS MIREILLE 2019 - DOMAINES OTT;24.9;14;750;Provence-Alpes-Côte d'Azur
245;2;127;SAINT AMOUR 2018 - DOMAINE DE LA PIROLETTE;17.9;14.5;750;Beaujolais
246;2;128;CHASSAGNE-MONTRACHET ROUGE - MAISON LOUIS LATOUR 2017;42.9;13.5;750;Bourgogne
247;1;129;TRADITION 2018 - DOMAINE DE FERRANT;11.5;13.5;750;Sud-Ouest
248;1;130;POUILLY FUISSE - TETE DE CUVEE 2018 - CHATEAU FUISSE;25.9;13.5;750;Bourgogne
249;1;131;JARDIN DES CHARMES SAUVIGNON 2019 - ALMA CERSIUS;7.1;12.5;750;Languedoc-Roussillon
250;1;132;CHABLIS 2019 - DOMAINE COLBOIS;15;13;750;Bourgogne
251;2;132;LA PEÑA 2018 - BODEGAS EL ANGOSTO;7.9;13.5;750;Espagne
252;2;132;FUERZA 2017 - EGO BODEGAS;11.9;14.5;750;Espagne
253;2;133;LA POMPADOUR 2018 - CAVE DE CASTELMAURE;13.5;14.5;750;Languedoc-Roussillon
254;2;134;PEÑAMONTE TORO 2016 - BODEGAS RIOJANAS;8.95;14.5;750;Espagne
255;2;134;LIRAC - CLOS DE SIXTE 2017 - ALAIN JAUME;17.6;15;750;Rhône
256;2;135;CÔTE RÔTIE- LÖSS 2018 - DOMAINE STÉPHANE PICHAT;33;14;750;Rhône
257;2;136;SAINT-JOSEPH CUVEE PAPY 2018 - STEPHANE MONTEZ DU MONTEILLET;23.9;14;750;Rhône
